user_id,user_budget,user_preferensi,menu_id,cocok
1,10000,snackbox,3,0
2,20000,snack,14,0
3,100000,snack,2,0
4,100000,snackbox,8,0
5,10000,snackbox,19,0
6,25000,dessert,22,0
7,10000,dessert,16,0
8,50000,dessert,25,0
9,20000,makanan,12,0
10,10000,dessert,16,0
11,75000,dessert,13,0
12,35000,paket,18,0
13,25000,makanan,4,0
14,15000,makanan,7,0
15,20000,makanan,8,0
16,100000,nasi,20,1
17,25000,makanan,2,0
18,15000,makanan,11,0
19,50000,paket,20,0
20,50000,makanan,25,1
21,50000,makanan,5,0
22,15000,dessert,2,1
23,50000,snackbox,10,0
24,100000,dessert,13,0
25,20000,paket,14,0
26,15000,snack,16,0
27,75000,paket,12,1
28,50000,snack,18,0
29,10000,makanan,22,0
30,10000,nasi,8,1
31,50000,snackbox,12,0
32,50000,nasi,11,0
33,25000,snackbox,5,0
34,15000,snackbox,14,0
35,25000,dessert,15,0
36,75000,makanan,21,0
37,15000,nasi,24,0
38,25000,snackbox,16,1
39,10000,makanan,9,1
40,75000,paket,17,0
41,10000,paket,18,0
42,100000,snackbox,8,0
43,20000,nasi,8,0
44,10000,nasi,8,0
45,20000,snack,2,0
46,75000,snack,3,0
47,15000,nasi,7,1
48,100000,snackbox,24,0
49,75000,makanan,10,1
50,100000,dessert,4,1
51,25000,makanan,10,0
52,75000,nasi,22,1
53,75000,nasi,2,0
54,10000,dessert,14,0
55,10000,dessert,17,0
56,25000,dessert,3,1
57,35000,snackbox,18,0
58,50000,makanan,10,1
59,75000,snackbox,11,0
60,20000,makanan,16,0
61,50000,nasi,11,0
62,50000,makanan,25,1
63,15000,dessert,8,0
64,50000,makanan,4,0
65,10000,makanan,18,0
66,15000,snack,24,0
67,25000,paket,2,0
68,25000,makanan,17,0
69,10000,snack,22,0
70,100000,snackbox,8,0
71,20000,makanan,23,0
72,15000,makanan,2,1
73,20000,snack,21,0
74,15000,dessert,19,0
75,10000,nasi,15,0
76,100000,dessert,20,0
77,50000,paket,3,0
78,50000,makanan,17,0
79,50000,snack,4,0
80,10000,snackbox,5,0
81,75000,snackbox,18,0
82,20000,makanan,18,0
83,20000,snackbox,15,1
84,75000,nasi,16,0
85,75000,paket,5,0
86,25000,makanan,2,0
87,50000,nasi,9,1
88,50000,nasi,19,1
89,15000,snack,13,0
90,50000,paket,10,1
91,20000,paket,17,0
92,10000,snack,13,0
93,35000,dessert,3,1
94,20000,paket,13,0
95,10000,dessert,9,0
96,10000,dessert,23,0
97,25000,nasi,7,0
98,15000,paket,9,0
99,25000,nasi,15,0
100,50000,nasi,1,0
101,75000,nasi,19,1
102,100000,makanan,16,0
103,50000,nasi,7,0
104,50000,paket,22,0
105,35000,makanan,5,1
106,20000,snack,13,0
107,35000,dessert,12,0
108,50000,paket,16,0
109,20000,makanan,12,0
110,10000,snackbox,25,0
111,20000,paket,6,0
112,75000,snackbox,19,0
113,10000,nasi,13,0
114,75000,paket,17,0
115,20000,snack,13,0
116,20000,dessert,12,0
117,100000,dessert,14,1
118,35000,nasi,13,0
119,50000,snack,25,0
120,100000,paket,23,0
121,35000,snackbox,12,0
122,15000,snackbox,9,0
123,20000,snackbox,16,0
124,50000,paket,11,1
125,15000,paket,17,0
126,20000,nasi,12,0
127,15000,nasi,8,0
128,100000,snack,15,0
129,50000,makanan,10,1
130,15000,snack,23,0
131,35000,paket,22,0
132,100000,snack,18,0
133,35000,snack,5,0
134,25000,paket,22,0
135,75000,dessert,25,1
136,50000,nasi,5,0
137,50000,nasi,17,1
138,100000,makanan,3,0
139,20000,dessert,11,0
140,10000,snackbox,20,0
141,20000,paket,25,0
142,10000,snackbox,20,0
143,35000,snackbox,20,0
144,50000,paket,7,1
145,10000,nasi,5,0
146,100000,makanan,23,0
147,10000,makanan,20,0
148,15000,makanan,19,0
149,50000,dessert,21,0
150,50000,snack,19,0
151,25000,snack,22,0
152,35000,dessert,25,1
153,75000,snackbox,20,1
154,20000,snack,13,0
155,10000,paket,18,0
156,75000,snackbox,11,0
157,75000,dessert,13,1
158,15000,dessert,5,1
159,10000,dessert,15,0
160,35000,nasi,22,1
161,10000,snackbox,8,0
162,100000,dessert,20,0
163,15000,dessert,15,0
164,75000,snackbox,4,0
165,75000,snackbox,13,0
166,75000,makanan,13,0
167,20000,nasi,13,0
168,35000,snackbox,1,0
169,10000,dessert,5,0
170,15000,snack,12,0
171,100000,paket,11,1
172,10000,nasi,13,0
173,35000,nasi,9,0
174,50000,paket,2,0
175,100000,snackbox,11,1
176,100000,paket,10,0
177,25000,snack,7,0
178,50000,snackbox,24,1
179,50000,snack,15,0
180,100000,nasi,18,1
181,50000,paket,23,0
182,50000,nasi,25,0
183,75000,nasi,18,1
184,100000,makanan,17,0
185,50000,snack,25,0
186,25000,snack,22,0
187,10000,snackbox,13,0
188,75000,dessert,9,0
189,35000,snack,9,1
190,50000,dessert,10,1
191,15000,snack,9,1
192,15000,makanan,9,0
